title,coutry,date,time,impact,forecast,previous
Westpac Consumer Confidence,AUS,2/13/2018,11:30:00 PM,High,,
Gross Domestic Product (QoQ),JPN,2/13/2018,11:50:00 PM,Medium,,
Gross Domestic Product Annualized,JPN,2/13/2018,11:50:00 PM,Medium,,
Gross Domestic Product Deflator (YoY),JPN,2/13/2018,11:50:00 PM,Medium,,
RBNZ Inflation Expectations (QoQ),NZL,2/14/2018,2:00:00 AM,High,,
FDI - Foreign Direct Investment (YTD) (YoY),CHN,2/14/2018,2:00:00 AM,High,,
Gross Domestic Product w.d.a (YoY),DEU,2/14/2018,7:00:00 AM,High,,
Consumer Price Index (YoY),DEU,2/14/2018,7:00:00 AM,Medium,,
Consumer Price Index (MoM),DEU,2/14/2018,7:00:00 AM,Medium,,
Harmonized Index of Consumer Prices (YoY),DEU,2/14/2018,7:00:00 AM,?,,
Harmonized Index of Consumer Prices (MoM),DEU,2/14/2018,7:00:00 AM,Medium,,
Gross Domestic Product (YoY),DEU,2/14/2018,7:00:00 AM,High,,
Gross Domestic Product (QoQ),DEU,2/14/2018,7:00:00 AM,?,,
German Buba President Weidmann speech,DEU,2/14/2018,8:00:00 AM,High,,
SNB Gov Board Member Zurbrugg Speech,CHE,2/14/2018,8:50:00 AM,High,,
Gross Domestic Product (YoY),ITA,2/14/2018,9:00:00 AM,High,,
Gross Domestic Product (QoQ),ITA,2/14/2018,9:00:00 AM,High,,
Gross Domestic Product s.a. (QoQ),EMU,2/14/2018,10:00:00 AM,?,,
Gross Domestic Product s.a. (YoY),EMU,2/14/2018,10:00:00 AM,?,,
Industrial Production w.d.a. (YoY),EMU,2/14/2018,10:00:00 AM,High,,
Industrial Production s.a. (MoM),EMU,2/14/2018,10:00:00 AM,High,,
ECB's Mersch speech,EMU,2/14/2018,10:20:00 AM,High,,
30-y Bond Auction,DEU,2/14/2018,10:42:00 AM,Medium,,
SNB Gov Board Member Zurbrugg Speech,CHE,2/14/2018,11:20:00 AM,High,,
MBA Mortgage Applications,USA,2/14/2018,12:00:00 PM,Medium,,
ECB's Mersch speech,EMU,2/14/2018,12:45:00 PM,High,,
Retail Sales ex Autos (MoM),USA,2/14/2018,1:30:00 PM,?,,
Retail Sales control group,USA,2/14/2018,1:30:00 PM,High,,
Retail Sales (MoM),USA,2/14/2018,1:30:00 PM,High,,
Consumer Price Index Ex Food & Energy (MoM),USA,2/14/2018,1:30:00 PM,High,,
Consumer Price Index (MoM),USA,2/14/2018,1:30:00 PM,High,,
Consumer Price Index n.s.a (MoM),USA,2/14/2018,1:30:00 PM,Medium,,
Consumer Price Index Core s.a,USA,2/14/2018,1:30:00 PM,Medium,,
Consumer Price Index Ex Food & Energy (YoY),USA,2/14/2018,1:30:00 PM,?,,
Consumer Price Index (YoY),USA,2/14/2018,1:30:00 PM,?,,
Business Inventories,USA,2/14/2018,3:00:00 PM,Medium,,
EIA Crude Oil Stocks change,USA,2/14/2018,3:30:00 PM,Medium,,
Machinery Orders (YoY),JPN,2/14/2018,11:50:00 PM,High,,
Machinery Orders (MoM),JPN,2/14/2018,11:50:00 PM,High,,
Consumer Inflation Expectation,AUS,2/15/2018,12:00:00 AM,High,,
Chinese New Year Eve,CHN,2/15/2018,12:00:00 AM,Low,,
Employment Change s.a.,AUS,2/15/2018,12:30:00 AM,?,,
Fulltime employment,AUS,2/15/2018,12:30:00 AM,Medium,,
Part-time employment,AUS,2/15/2018,12:30:00 AM,Medium,,
Participation Rate,AUS,2/15/2018,12:30:00 AM,High,,
Unemployment Rate s.a.,AUS,2/15/2018,12:30:00 AM,?,,
Industrial Production (MoM),JPN,2/15/2018,4:30:00 AM,Medium,,
Industrial Production (YoY),JPN,2/15/2018,4:30:00 AM,Medium,,
Capacity Utilization,JPN,2/15/2018,4:30:00 AM,Medium,,
ILO Unemployment,FRA,2/15/2018,6:30:00 AM,Medium,,
HICP (YoY),ESP,2/15/2018,8:00:00 AM,Medium,,
HICP (MoM),ESP,2/15/2018,8:00:00 AM,Medium,,
Consumer Price Index (MoM),ESP,2/15/2018,8:00:00 AM,Medium,,
Consumer Price Index (YoY),ESP,2/15/2018,8:00:00 AM,Medium,,
ECB's Mersch speech,EMU,2/15/2018,8:15:00 AM,High,,
Trade Balance EU,ITA,2/15/2018,9:00:00 AM,Medium,,
